,ITI (seconds), left fractal (win = 1; loss = 0),right fractal (win = 1; loss = 0),left fractal (probability of win),right fractal (probability of win),,,left frac prob,right frac prob,
1,3000,0.00,0.00,0.80,0.29,,,1.00,0.00,
1,3376,1.00,0.00,0.80,0.29,,,0.00,0.00,
1,12809,1.00,0.00,0.80,0.29,,,0.00,0.00,
1,3885,1.00,0.00,0.80,0.29,,,1.00,0.00,
1,3073,1.00,1.00,0.80,0.29,,,0.00,1.00,
1,12911,1.00,0.00,0.80,0.29,,,0.00,0.00,
1,3354,1.00,1.00,0.80,0.29,,,0.00,1.00,
1,12955,1.00,0.00,0.80,0.777777778,,,0.00,0.00,
1,3633,1.00,1.00,0.80,0.78,,,0.00,1.00,
1,3561,1.00,1.00,0.80,0.78,,,0.00,1.00,
1,3125,1.00,1.00,0.80,0.78,,,0.00,1.00,
1,3558,1.00,1.00,0.80,0.78,,,0.00,1.00,
1,12625,1.00,1.00,0.80,0.78,,,0.00,1.00,
1,3567,0.00,0.00,0.80,0.78,,,1.00,0.00,
1,3920,0.00,1.00,0.80,0.78,,,1.00,1.00,
1,3617,0.00,1.00,0.80,0.78,,,1.00,1.00,
1,3162,1.00,1.00,0.80,0.78,,,0.00,1.00,
1,3314,1.00,0.00,0.80,0.78,,,0.00,0.00,
1,3449,1.00,1.00,0.80,0.78,,,0.00,1.00,
1,12257,1.00,0.00,0.80,0.78,,,0.00,0.00,
1,3746,1.00,1.00,0.230769231,0.78,,,0.00,1.00,
1,3011,0.00,1.00,0.23,0.78,,,1.00,1.00,
1,3096,0.00,1.00,0.23,0.78,,,1.00,1.00,
1,3328,0.00,1.00,0.23,0.78,,,1.00,1.00,
1,12633,0.00,1.00,0.23,0.78,,,1.00,1.00,
1,3477,0.00,1.00,0.23,0.210526316,,,1.00,1.00,
1,3462,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3721,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3254,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3820,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,12991,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,12368,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3184,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3165,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3305,1.00,0.00,0.23,0.21,,,0.00,0.00,
1,3670,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3468,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3552,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3302,1.00,0.00,0.23,0.21,,,0.00,0.00,
1,3034,0.00,1.00,0.23,0.21,,,1.00,1.00,
1,3317,1.00,0.00,0.23,0.21,,,0.00,0.00,
1,3745,0.00,0.00,0.23,0.21,,,1.00,0.00,
1,3961,1.00,1.00,0.23,0.21,,,0.00,1.00,
1,3772,0.00,1.00,0.23,0.21,,,1.00,1.00,
1,3535,0.00,1.00,0.23,0.833333333,,,1.00,1.00,
1,12725,1.00,1.00,0.23,0.83,,,0.00,1.00,
1,3766,1.00,1.00,0.8,0.83,,,0.00,1.00,
1,3913,1.00,0.00,0.8,0.83,,,0.00,0.00,
